[11960.15980021] [8400.648333]
[12508.58088314] [6838.816667]
[10516.04060901] [6925.46]
[10173.43550451] [8099.958333]
[8967.36135916] [8240.536667]
[9246.89329689] [8245.08]
[9415.21041498] [8319.876566]
[8449.58571471] [8343.455]
[6675.62109045] [8068.02]
[8453.03717744] [8597.7675]
[7122.32327905] [9334.633333]
[8516.80934762] [9471.64]
[7984.77124314] [10127.16167]
[8370.80288604] [10841.99167]
[8342.52008056] [11085.83]
[9010.97166934] [11110.965]
[8097.50356777] [11390.39167]
[9582.07542735] [11245.98]
[10622.36533723] [9931.071667]
[10269.69353306] [10162.11667]
[10307.30542032] [10171.3]
[10806.22636553] [9696.593333]
[10627.52412152] [10348.60333]
[11511.20973289] [10319.46]
[10927.66038638] [10370.165]
[10622.45942881] [11009.38167]
[11070.13771707] [10931.12]
[10621.07938896] [11326.94833]
[11240.76129635] [11430.18167]
[11322.6913873] [11516.83]
[12132.29100051] [10763.19833]
[12472.81372067] [10118.058]
[11389.20782026] [9920.46]
[11527.44142039] [9089.278333]
[12465.04996694] [8746.002]
[11545.97143425] [8777.37]
[10872.8176286] [9182.843333]
[11496.25582902] [9154.7]
[10613.04862122] [9153.54]
[10495.51249166] [8358.121667]
[10057.92115279] [8530.402]
[10055.38874271] [8297.89]
[9164.71379042] [8171.415]
[9458.05834825] [8412.033333]
[9027.73853431] [8605.64]
[8799.15811217] [8947.753333]
[8363.75092865] [8690.408333]
[8496.17844126] [8725.37]
[8808.62459242] [8662.378333]
[8986.66466236] [8617.296667]
[8740.54824141] [8457.96]
[8416.7246311] [7876.195]
[8534.25761548] [7960.38]
[8578.42234301] [7950.61]
[8428.4711891] [6882.531667]
[8010.64928073] [6935.48]
[9149.04665156] [6937.56]
[8308.3331406] [7035.848333]
[8304.41991753] [7410.435]
[7485.24455155] [7426.48]
[7910.45546949] [6826.51]
[7950.77113749] [6603.876667]
[7244.87962822] [6634.68]
[7026.58005797] [7017.656667]
[7338.79761603] [6699.273333]
[7226.35967212] [6784.41]
[7253.48367187] [6926.266667]
[6888.62588678] [7847.845]
[6722.83389562] [7941.46]
[6071.30846939] [8036.511051]
[6986.40996374] [8340.748333]
[7241.4671485] [8368.1]
[7106.25207055] [7895.416926]
[7652.35951437] [8164.937426]
[6973.40900586] [8175.96]
[7726.89133321] [8852.718333]
[7850.75666223] [8807.205]
[8394.17179332] [8930.6]
[8439.20901812] [8933.861667]
[8617.7371105] [9555.542]
[8809.42829304] [9658.11]
[9116.21969675] [9258.398333]
[9428.70021544] [9010.32]
[9724.2746423] [8928.55]
[9620.21988706] [9334.281667]
[9430.40737317] [9259.57]
[9659.39462371] [9239.55]
[9588.67554702] [9221.426]
[9898.78298776] [9639.268333]
[9640.96526574] [9753.35]
[9393.49428536] [9803.306667]
[10603.72170845] [9630.136277]
